customer_id,first_name,last_name,gender,date_of_birth,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,address,property_valuation,location_id
1,Laraine,Medendorp,F,1953-10-12 00:00:00,Executive Secretary,Health,Mass Customer,N,Yes,060 Morning Avenue,10,1
1,Laraine,Medendorp,F,1953-10-12 00:00:00,Executive Secretary,Health,Mass Customer,N,Yes,060 Morning Avenue,10,617
2,Eli,Bockman,Male,1980-12-16 00:00:00,Administrative Officer,Financial Services,Mass Customer,N,Yes,6 Meadow Vale Court,10,2
2,Eli,Bockman,Male,1980-12-16 00:00:00,Administrative Officer,Financial Services,Mass Customer,N,Yes,6 Meadow Vale Court,10,181
3,Arlin,Dearle,Male,1954-01-20 00:00:00,Recruiting Manager,Property,Mass Customer,N,Yes,0 Holy Cross Court,9,3
4,Talbot,,Male,1961-10-03 00:00:00,,IT,Mass Customer,N,No,17979 Del Mar Point,4,4
4,Talbot,,Male,1961-10-03 00:00:00,,IT,Mass Customer,N,No,17979 Del Mar Point,4,729
5,Sheila-kathryn,Calton,Female,1977-05-13 00:00:00,Senior Editor,,Affluent Customer,N,Yes,9 Oakridge Court,9,5
6,Curr,Duckhouse,Male,1966-09-16 00:00:00,,Retail,High Net Worth,N,Yes,4 Delaware Trail,9,6
6,Curr,Duckhouse,Male,1966-09-16 00:00:00,,Retail,High Net Worth,N,Yes,4 Delaware Trail,9,337
7,Fina,Merali,Female,1976-02-23 00:00:00,,Financial Services,Affluent Customer,N,Yes,49 Londonderry Lane,4,7
7,Fina,Merali,Female,1976-02-23 00:00:00,,Financial Services,Affluent Customer,N,Yes,49 Londonderry Lane,4,546
8,Rod,Inder,Male,1962-03-30 00:00:00,Media Manager I,,Mass Customer,N,No,97736 7th Trail,12,8
8,Rod,Inder,Male,1962-03-30 00:00:00,Media Manager I,,Mass Customer,N,No,97736 7th Trail,12,243
9,Mala,Lind,Female,1973-03-10 00:00:00,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,93405 Ludington Park,8,9
10,Fiorenze,Birdall,Female,1988-10-11 00:00:00,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,44339 Golden Leaf Alley,4,10
11,Uriah,Bisatt,Male,1954-04-30 00:00:00,,Property,Mass Customer,N,No,2 Sutherland Street,6,11
12,Sawyere,Flattman,Male,1994-07-21 00:00:00,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,9 Mcbride Trail,8,12
12,Sawyere,Flattman,Male,1994-07-21 00:00:00,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,9 Mcbride Trail,8,357
13,Gabriele,Norcross,Male,1955-02-15 00:00:00,Developer I,Financial Services,High Net Worth,N,Yes,9861 New Castle Avenue,9,13
13,Gabriele,Norcross,Male,1955-02-15 00:00:00,Developer I,Financial Services,High Net Worth,N,Yes,9861 New Castle Avenue,9,370
14,Rayshell,Kitteman,Female,1983-03-25 00:00:00,Account Executive,Financial Services,Affluent Customer,N,No,52 Moland Street,4,14
15,Erroll,Radage,Male,2000-07-13 00:00:00,Junior Executive,Manufacturing,Mass Customer,N,No,82391 Kensington Lane,9,15
